Package,Version
a11yShiny,0.1.4
a5R,0.5.0
aae.pop,0.2.0
AalenJohansen,1.0
aamatch,0.4.5
AATtools,0.0.3
ABACUS,1.0.0
abasequence,0.1.0
abba,0.2.0
abbreviate,0.1
abc,2.2.2
abc.data,1.1
ABC.RAP,0.9.0
ABCanalysis,1.2.1
ABCDscores,7.0.0
abcel,1.0
abclass,0.5.1
ABCoptim,0.15.0
abcpp,1.0.0
abcrf,2.0
abcrlda,1.0.3
abctools,1.1.8
abd,0.2-8
abdiv,0.2.0
abe,5.1.2
aberrance,0.3.0
abess,0.4.11
abglasso,0.1.1
ABHgenotypeR,1.0.1
abima,1.1
abind,1.4-8
abjData,1.1.2
abjutils,0.3.2
ablasso,1.1
ABM,0.4.3
abms,0.2
abn,3.1.13
abodOutlier,0.1
ABPS,0.3
ABRSQOL,1.0.0
abseil,2026.5.26.0
AbSolution,1.0.1
absorber,1.0
abstr,0.4.2
abstractr,0.1.0
ABSurvTDC,0.1.0
abtest,1.0.1
abundant,1.2
abwm,0.1.0
Ac3net,1.2.2
AcademicThemes,0.0.2
academictwitteR,0.3.1
acc,1.3.3
acca,0.2
accbaseballr,0.1.3
accelmissing,2.2
AccelStab,2.3.2
accept,1.0.2
AcceptanceSampling,1.0.11
AcceptReject,0.1.2
accessibility,1.5.0
accessr,1.1.3
accessrmd,1.0.0
accrual,1.4
accrualPlot,1.0.10
AccSamplingDesign,0.0.8
accSDA,1.1.3
accucor,0.3.1
accumulate,1.0.0
accuracylevel,0.1.0
acdcquery,1.2.3
acdcR,1.0.0
ACDm,1.1.0
ACE.CoCo,0.1
ace2fastq,0.6.0
acebayes,1.11
aceEditor,1.0.1
ACEP,0.1.2
acepack,1.6.3
ACEsearch,1.0.0
ACEsimFit,0.0.0.9
ACEt,1.9.0
acfMPeriod,1.1.0
achieveGap,0.1.0
Achilles,1.7.2
acid,1.1
acled.api,1.1.8
acledR,1.0.1
aclhs,1.0.1
acmgscaler,1.0.0
ACNE,0.9.2
acnr,1.0.0
acopula,0.9.4
acoRn,0.1.0
acro,0.1.7
acroname,0.1.0
acsmoe,0.1.0
acss,0.3-2
acss.data,1.2
ACSWR,1.0
act,1.3.1
ACTCD,1.4-0
ActCR,0.4.0
actel,1.4.0
actfts,0.3.0
actibase,0.2.0
actigraph.sleepr,0.3.1
actilifecounts,1.1.1
activAnalyzer,2.1.2
activatr,0.2.1
ActiveDriver,1.0.0
ActiveDriverWGS,1.2.1
ActiveLearning4SPM,0.1.0
ActivePathways,2.0.6
activity,1.3.4
activityCounts,0.2.1
ActivityIndex,0.3.7
activPAL,0.1.4
actLifer,1.0.0
actogrammr,0.2.3
actuar,3.3-7
actuaRE,1.0.1
ActuarialM,0.1.0
actuary,0.1.2
actuaryr,1.1.1
actxps,1.6.1
AcuityView,1.1.1
acumos,0.4-4
ACV,1.0.2
ACWR,0.1.0
ada,2.0-5.1
adabag,5.1
adace,1.0.2
adagio,0.9.2
adamethods,1.2.1
adana,1.1.0
AdapDiscom,1.0.0
adaplots,0.1.0
AdapSamp,1.1.1
adapt3,2.0.9
adapt4pv,0.2-3
adaptalint,0.2.4
adaptDiag,0.1.1
AdaptGauss,1.6
